College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State
City Colleges of Chicago,20-Jul,54429677,100,Wind,IL
American University,20-Jul,53982144,97,Various,DC
Temple University,20-Jul,48924000,25,Various,PA
Drexel University,20-Jul,43913000,52,"Solar, Wind",PA
University of Pittsburg,20-Jul,41049070,19,Various,PA
University of California,20-Apr,328380213,30,"Biogas, Biomass, Solar, Wind",CA
Arizona State University,20-Apr,292135945,87,"Solar, Wind",AZ
Columbia University,20-Apr,270897887,100,Wind,NY
"University at Buffalo, The State University of New York",20-Apr,227985303,100,"Biomass, Solar",NY
University of Pennsylvania,20-Apr,200000000,71,Wind,PA
Stanford University,20-Apr,190930395,67,Various,CA
Georgetown University,20-Apr,159149526,130,Wind,DC
"University of Tennessee, Knoxville",20-Apr,158044000,67,"Solar, Wind",TN
University of Utah,20-Apr,148673985,49,"Geothermal, Solar",UT
University of Utah,20-Apr,146567825,53,Various,MD
Carnegie Mellon University,20-Apr,134008880,105,"Solar, Wind",PA
University of Oklahoma,20-Apr,132336000,70,Wind,OK
Saint Louis University,20-Apr,125000000,105,Wind,MO
University of Missouri,20-Apr,104001209,42,"Biomass, Solar, Wind",MS
Northwestern University,20-Apr,100370800,39,"Solar, Wind",IL
The Ohio State University,20-Apr,99742483,17,Wind,OH
Drexel University,20-Apr,87766000,103,"Solar, Wind",PA
Oklahoma State University,20-Apr,82474642,60,Wind,OK
George Washington University,20-Apr,73464846,50,Solar,DC
University of Virginia,20-Apr,70936294,21,Solar,VA
Rochester Institute of Technology,20-Apr,70711082,92,"Solar, Wind",NY
Ohio University,20-Apr,60689366,50,"Solar, Wind",OH
University of Vermont,20-Apr,59759945,101,"Biogas, Solar, Wind",VT
American University,20-Apr,59476806,107,Various,DC
University of Minnesota,20-Apr,57800000,16,"Solar, Wind",MN
Southern Illinois University Edwardsville,20-Apr,56109545,100,Wind,IL
City Colleges of Chicago,20-Apr,54429677,100,Wind,IL
University of New Hampshire,20-Apr,46469000,65,Wind,NH
Temple University,20-Apr,44000000,21,Wind,PA
Syracuse University,20-Apr,40250000,35,Wind,IL
University of California,20-Jan,273347222,25,Various,CA
Columbia University,20-Jan,270897887,100,Wind,NY
"University at Buffalo, The State University of New York",20-Jan,224325000,100,"Biomass, Solar",NY
University of Pennsylvania,20-Jan,200000000,71,Wind,PA
Georgetown University,20-Jan,159149526,130,Wind,DC
Stanford University,20-Jan,159021886,56,Solar,CA
"University of Tennessee, Knoxville",20-Jan,158044000,67,"Solar, Wind",TN
University of Utah,20-Jan,148673985,49,"Geothermal, Solar",UT
University of Maryland,20-Jan,146567825,53,Various,MD
University of Oklahoma,20-Jan,135692000,70,Wind,OK
Carnegie Mellon University,20-Jan,132396967,100,"Solar, Wind",PA
Saint Louis University,20-Jan,125000000,105,Wind,MO
University of North Texas,20-Jan,107250000,100,"Solar, Wind",TX
Arizona State University,20-Jan,105000000,30,"Solar, Wind",AZ
University of Missouri,20-Jan,104001209,42,"Biogas, Solar, Wind",MO
Northwestern University,20-Jan,100370800,39,"Solar, Wind",IL
Oklahoma State University,20-Jan,93827563,67,Wind,OK
Drexel University,20-Jan,87766000,104,"Solar, Wind",PA
The Ohio State University,20-Jan,85505575,14,Wind,OH
George Washington University,20-Jan,78393980,53,Solar,DC
University of Virginia,20-Jan,70936294,21,Solar,VA
University of Wisconsin,20-Jan,64424214,14,"Biogas, Solar, Wind",WI
Ohio University,20-Jan,60689366,50,"Solar, Wind",OH
American University,20-Jan,59476806,107,Various,DC
University of Minnesota,20-Jan,57800000,16,"Solar, Wind",MN
University of Vermont,20-Jan,57716250,96,"Biogas, Solar, Wind",VT
Southern Illinois University Edwardsville,20-Jan,56109545,100,Wind,IL
University of New Hampshire,20-Jan,46469000,65,Wind,NH
Temple University,20-Jan,44000000,21,Wind,PA
Syracuse University,20-Jan,40250000,35,Wind,NY
University of California,19-Jul,273347222,25,Various,CA
"University at Buffalo, The State University of New York",19-Jul,224325000,100,"Biomass, Solar",NY
University of Pennsylvania,19-Jul,200000000,71,Wind,PA
Stanford University,19-Jul,159626907,57,Solar,CA
Georgetown University,19-Jul,159499000,133,Wind,DC
"University of Tennessee, Knoxville",19-Jul,158044000,67,"Solar, Wind",TN
University of Maryland,19-Jul,146567825,53,Various,MD
University of Oklahoma,19-Jul,135692000,70,Wind,OK
Carnegie Mellon University,19-Jul,132396967,100,"Solar, Wind",PA
University of North Texas,19-Jul,107250000,100,"Solar, Wind",TX
Arizona State University,19-Jul,105000000,30,"Solar, Wind",AZ
University of Missouri,19-Jul,104001209,42,"Biomass, Solar, Wind",MO
Northwestern University,19-Jul,100370800,39,"Solar, Wind",IL
Oklahoma State University,19-Jul,93827563,67,Wind,OK
Drexel University,19-Jul,87766000,104,"Solar, Wind",PA
The Ohio State University,19-Jul,85505575,14,Wind,OH
George Washington University,19-Jul,78393980,53,Solar,DC
University of Virginia,19-Jul,70936294,21,Solar,VA
University of Wisconsin,19-Jul,64424214,14,"Biogas, Solar, Wind",WI
Ohio University,19-Jul,60539865,50,Solar,OH
American University,19-Jul,59476806,107,Various,DC
University of Minnesota,19-Jul,57800000,16,"Solar, Wind",MN
University of Vermont,19-Jul,57716250,96,"Biogas, Solar, Wind",VT
Southern Illinois University Edwardsville,19-Jul,56109545,100,Wind,IL
University of New Hampshire,19-Jul,56109545,65,Wind,NH
Temple University,19-Jul,44000000,21,Wind,PA
Syracuse University,19-Jul,40250000,35,Wind,NY
The Catholic University of America,19-Jul,40250000,100,Wind,DC
University of Pittsburgh,19-Jul,32412337,15,Various,PA
Colgate University,19-Jul,31808072,100,Various,NY
University of California,19-Apr,273347222,25,Various,CA
"University at Buffalo, The State University of New York",19-Apr,224325000,100,"Biomass, Solar",NY
University of Pennsylvania,19-Apr,200000000,71,Wind,PA
Stanford University,19-Apr,159626907,57,Solar,CA
Georgetown University,19-Apr,159499000,133,Wind,DC
"University of Tennessee, Knoxville",19-Apr,158044000,67,"Solar, Wind",TN
University of Maryland,19-Apr,146567825,53,Various,MD
University of Oklahoma,19-Apr,135692000,70,Wind,OK
Carnegie Mellon University,19-Apr,132396967,100,"Solar, Wind",PA
University of North Texas,19-Apr,107250000,100,"Solar, Wind",TX
Arizona State University,19-Apr,105000000,30,"Solar, Wind",AZ
University of Missouri,19-Apr,104001209,42,"Biomass, Solar, Wind",MO
Northwestern University,19-Apr,100370800,39,"Solar, Wind",IL
Oklahoma State University,19-Apr,93827563,67,Wind,OK
Drexel University,19-Apr,87766000,104,"Solar, Wind",PA
The Ohio State University,19-Apr,85505575,14,Wind,OH
George Washington University,19-Apr,78393980,53,Solar,DC
University of Virginia,19-Apr,70936294,21,Solar,VA
University of Wisconsin,19-Apr,64424214,14,"Biogas, Solar, Wind",WI
The City University of New York,19-Apr,64000000,14,Wind,NY
Ohio University,19-Apr,60539865,50,"Solar, Wind",OH
American University,19-Apr,59476806,107,Various,DC
University of Minnesota,19-Apr,57800000,16,"Solar, Wind",MN
University of Vermont,19-Apr,57716250,96,"Biogas, Solar, Wind",VT
Southern Illinois University Edwardsville,19-Apr,56109545,100,Wind,IL
University of New Hampshire,19-Apr,46469000,65,Wind,NH
Temple University,19-Apr,44000000,21,Wind,PA
Syracuse University,19-Apr,40250000,35,Wind,NY
The Catholic University of America,19-Apr,37881775,100,Wind,DC
University of Pittsburgh,19-Apr,32412337,15,Various,PA
"University of Tennessee, Knoxville",19-Feb,250070000,94,"Solar, Wind",TN
"University at Buffalo, The State University of New York",19-Feb,219284258,100,"Biomass, Solar",NY
University of Pennsylvania,19-Feb,200000000,71,Wind,PA
University of California,19-Feb,182762683,15,"Biogas, Solar, Wind",CA
Stanford University,19-Feb,159626907,57,Solar,CA
Georgetown University,19-Feb,159499000,133,Wind,DC
Carnegie Mellon University,19-Feb,126281076,100,"Solar, WInd",PA
University of Oklahoma,19-Feb,124573400,67,Wind,OK
University of North Texas,19-Feb,107250000,100,"Solar, Wind",TX
The Ohio State University,19-Feb,105651613,18,Wind,OH
University of Missouri,19-Feb,104001209,42,"Biomass, Solar, Wind",MO
Northwestern University,19-Feb,100370800,39,"Solar, WInd",IL
Oklahoma State University,19-Feb,97484877,72,Wind,OK
University of maryland,19-Feb,96927825,34,"Biogas, Small Hydro, Solar, Wind",MD
Drexel University,19-Feb,87766000,104,"Solar, wind",PA
George Washington University,19-Feb,78393980,53,solar,DC
Arizona State University,19-Feb,73900000,22,"Biogas, Biomass, Solar",AZ
University of Wisconsin,19-Feb,72168457,16,"Biogas, Solar, Wind",WI
University of Virginia,19-Feb,70936294,21,Solar,VA
The City University of New York,19-Feb,64000000,14,Wind,NY
Ohio University,19-Feb,60539865,50,"Solar, Wind",OH
American University,19-Feb,59476806,107,Various,DC
Southern Illinois University Edwardsville,19-Feb,57881742,100,Wind,IL
University of Minnesota,19-Feb,57800000,16,"Solar, Wind",MN
University of Vermont,19-Feb,57716250,96,"Biogas, Solar, Wind",VT
Temple University,19-Feb,55102500,25,Wind,PA
University of New Hampshire,19-Feb,46469000,65,Wind,NH
Syracuse University,19-Feb,40250000,35,Wind,NY
The Catholic University of America,19-Feb,37881775,100,Wind,DC
University of Pittsburgh,19-Feb,32412337,15,Various,PA
"University of Tennesee, Knoxville",18-Oct,250070000,94,"Solar, Wind",TN
"University at Buffalo, The State University of New York",18-Oct,219284258,100,"Biomass, Solar",NY
University of Pennsylvania,18-Oct,200000000,71,Wind,PA
University of California,18-Oct,182762683,15,"Biogas, Solar, Wind",CA
Georgetown University,18-Oct,159499000,133,Wind,DC
Stanford University,18-Oct,157734220,56,Solar,CA
Carnegie Mellon University,18-Oct,126281076,100,"Solar, Wind",PA
University of Oklahoma,18-Oct,124573400,67,Wind,OK
