College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State,Rank,Lat,Long,City location of institution,Hours of sunlight per city,Average enrollment from 2020 - 2018
Ohio University,7/29/2019,60539865,50,Solar,OH,20,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,4/22/2019,60539865,50,"Solar, Wind",OH,21,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,2/5/2019,60539865,50,"Solar, Wind",OH,21,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,10/29/2018,60539865,50,"Solar, Wind",OH,21,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,7/23/2018,60622672,50,"Solar, Wind",OH,23,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,4/25/2018,60622672,50,"Solar, Wind",OH,23,39.32434355,-82.10142527,Athens,2824,27187
Ohio University,1/22/2018,57464988,50,"Solar,Wind",OH,23,39.32434355,-82.10142527,Athens,2824,27187
Oklahoma State University,7/26/2021,88769890,67,Wind,OK,16,36.121414,-97.06839,,,
Oklahoma State University,4/26/2021,88769890,67,Wind,OK,16,36.121414,-97.06839,,,
Oklahoma State University,1/25/2021,88769890,67,Wind,OK,15,36.121414,-97.06839,,,
Oklahoma State University,10/19/2020,88769890,67,Solar,OK,14,36.121414,-97.06839,,,
Oklahoma State University,7/27/2020,82474642,60,Wind,OK,15,36.121414,-97.06839,,,
Oklahoma State University,4/27/2020,82474642,60,Wind,OK,18,36.121414,-97.06839,,,
Oklahoma State University,1/27/2020,93827563,67,Wind,OK,17,36.121414,-97.06839,,,
Oklahoma State University,7/29/2019,93827563,67,Wind,OK,14,36.121414,-97.06839,,,
Oklahoma State University,4/22/2019,93827563,67,Wind,OK,14,36.121414,-97.06839,,,
Oklahoma State University,2/5/2019,97484877,72,Wind,OK,13,36.121414,-97.06839,,,
Oklahoma State University,10/29/2018,97484877,72,Wind,OK,13,36.121414,-97.06839,,,
Oklahoma State University,7/23/2018,97484877,72,Wind,OK,13,36.121414,-97.06839,,,
Oklahoma State University,4/25/2018,97484877,72,Wind,OK,13,36.121414,-97.06839,,,
Oklahoma State University,1/22/2018,101559806,71,Wind,OK,12,36.121414,-97.06839,,,
Rochester Institute of Technology,7/26/2021,69543062,97,Various,NY,21,43.16103,-77.610924,Rochester,2298.2,16291.67
Rochester Institute of Technology,4/26/2021,69543062,97,Various,NY,21,43.16103,-77.610924,Rochester,2298.2,16291.67
Rochester Institute of Technology,1/25/2021,70711082,92,"Solar, Wind",NY,19,43.16103,-77.610924,Rochester,2298.2,16291.67
Rochester Institute of Technology,10/19/2020,70711082,92,"Solar, Wind",NY,18,43.16103,-77.610924,Rochester,2298.2,16291.67
Rochester Institute of Technology,7/27/2020,70711082,92,"Solar, Wind",NY,18,43.16103,-77.610924,Rochester,2298.2,16291.67
Rochester Institute of Technology,4/27/2020,70711082,92,"Solar, Wind",NY,21,43.16103,-77.610924,Rochester,2298.2,16291.67
Saint Louis University,7/26/2021,125000000,105,Wind,MO,11,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Saint Louis University,4/26/2021,122065000,72,Wind,MO,12,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Saint Louis University,1/25/2021,125000000,105,Wind,MO,12,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Saint Louis University,10/19/2020,125000000,105,Wind,MO,11,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Saint Louis University,7/27/2020,125000000,105,Wind,MO,12,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Saint Louis University,4/27/2020,125000000,105,Wind,MO,13,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Saint Louis University,1/27/2020,125000000,105,Wind,MO,12,38.63546,-90.233826,Saint Louis,2593.7,13155.33
Southern Illinois University Edwardsville,7/26/2021,55957182,100,Wind,IL,26,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,4/26/2021,55957182,100,Wind,IL,25,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,1/25/2021,55957182,100,Wind,IL,25,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,7/27/2020,56109545,100,Wind,IL,25,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,4/27/2020,56109545,100,Wind,IL,26,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,1/27/2020,56109545,100,Wind,IL,27,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,7/29/2019,56109545,100,Wind,IL,24,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,4/22/2019,56109545,100,Wind,IL,25,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,2/5/2019,57881742,100,Wind,IL,23,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Southern Illinois University Edwardsville,10/29/2018,57881742,100,Wind,IL,22,38.7933,-89.9961,Edwardsville,3059.4,13067.33
Stanford University,7/26/2021,186275157,69,Various,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,4/26/2021,186275157,69,Various,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,1/25/2021,190930395,67,Various,CA,7,37.428993,-122.16986,Stanford,3070,16861
Stanford University,10/19/2020,190930395,67,Various,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,7/27/2020,190930395,67,Various,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,4/27/2020,190930395,67,Various,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,1/27/2020,159021886,56,Solar,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,7/29/2019,159626907,57,Solar,CA,4,37.428993,-122.16986,Stanford,3070,16861
Stanford University,4/22/2019,159626907,57,Solar,CA,4,37.428993,-122.16986,Stanford,3070,16861
Stanford University,2/5/2019,159626907,57,Solar,CA,5,37.428993,-122.16986,Stanford,3070,16861
Stanford University,10/29/2018,157734220,56,Solar,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,7/23/2018,157734220,65,Solar,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,4/25/2018,157734220,56,Solar ,CA,6,37.428993,-122.16986,Stanford,3070,16861
Stanford University,1/22/2018,154190253,53,Solar,CA,5,37.428993,-122.16986,Stanford,3070,16861
Syracuse University,4/26/2021,40250000,37,Wind,NY,30,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,4/27/2020,40250000,35,Wind,NY,30,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,1/27/2020,40250000,35,Wind,NY,30,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,7/29/2019,40250000,35,Wind,NY,27,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,4/22/2019,40250000,35,Wind,NY,28,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,2/5/2019,40250000,35,Wind,NY,28,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,10/29/2018,40250000,35,Wind,NY,28,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,7/23/2018,41000000,35,Wind,NY,28,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,4/25/2018,41000000,35,Wind,NY,28,43.03762,-76.13297,Syracuse,2119.5,22325
Syracuse University,1/22/2018,41000000,35,Wind,NY,27,43.03762,-76.13297,Syracuse,2119.5,22325
Tarrant County College District,7/26/2021,57130346,100,"Solar, Wind",TX,25,32.747883,-97.32769,Fort Worth,2849.7,48206.33
Tarrant County College District,7/23/2018,66255000,70,"Biogas, Biomass, Small Hydro, Solar, Wind",TX,21,32.747883,-97.32769,Fort Worth,2849.7,48206.33
Tarrant County College District,4/25/2018,66255000,70,"Biogas,Biomass,Small Hydro, Solar, Wind",TX,21,32.747883,-97.32769,Fort Worth,2849.7,48206.33
Tarrant County College District,1/22/2018,66255000,70,"Biogas,Biomass,Small Hydro, Solar, Wind",TX,19,32.747883,-97.32769,Fort Worth,2849.7,48206.33
Temple University,7/26/2021,48924000,27,Various,PA,27,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,4/26/2021,48924000,27,Various,PA,27,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,1/25/2021,48924000,27,Various,PA,29,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,10/19/2020,48924000,25,Various,PA,28,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,7/27/2020,48924000,25,Various,PA,28,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,4/27/2020,44000000,21,Wind,PA,29,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,1/27/2020,44000000,21,Wind,PA,29,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,7/29/2019,44000000,21,Wind,PA,26,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,4/22/2019,44000000,21,Wind,PA,27,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,2/5/2019,55102500,25,Wind,PA,26,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,10/29/2018,55102500,25,Wind,PA,26,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,7/23/2018,55102500,25,Wind,PA,27,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,4/25/2018,55102500,25,Wind,PA,27,39.980225,-75.15758,Philadelphia,2498.4,38590
Temple University,1/22/2018,55102500,25,Wind,PA,25,39.980225,-75.15758,Philadelphia,2498.4,38590
Texas A&M University System,1/22/2018,45900000,15,Wind,TX,26,30.615011,-96.342476,,,
The Catholic University of America,7/29/2019,40250000,100,Wind,DC,28,38.93698,-76.998055,Washington,2527.7,5697.67
The Catholic University of America,4/22/2019,37881775,100,Wind,DC,29,38.93698,-76.998055,Washington,2527.7,5697.67
The Catholic University of America,2/5/2019,37881775,100,Wind,DC,29,38.93698,-76.998055,Washington,2527.7,5697.67
The Catholic University of America,10/29/2018,37881775,100,Wind,DC,29,38.93698,-76.998055,Washington,2527.7,5697.67
The Catholic University of America,7/23/2018,39090882,100,Wind,DC,30,38.93698,-76.998055,Washington,2527.7,5697.67
The Catholic University of America,4/25/2018,39090882,100,Wind,DC,30,38.93698,-76.998055,Washington,2527.7,5697.67
The Catholic University of America,1/22/2018,39090882,100,Wind,DC,29,38.93698,-76.998055,Washington,2527.7,5697.67
The City University of New York,4/22/2019,64000000,14,Wind,NY,20,40.73,-73.997,,,
The City University of New York,2/5/2019,64000000,14,Wind,NY,20,40.73,-73.997,,,
The City University of New York,10/29/2018,64000000,14,Wind,NY,20,40.73,-73.997,,,
The City University of New York,7/23/2018,64000000,14,Wind,NY,22,40.73,-73.997,,,
The City University of New York,4/25/2018,64000000,14,Wind,NY,22,40.73,-73.997,,,
The City University of New York,1/22/2018,64000000,13,Wind,NY,20,40.73,-73.997,,,
The Ohio State University,7/26/2021,99742483,17,Wind,OH,15,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,4/26/2021,99742483,17,Wind,OH,15,39.999387,-83.02271,Columbus,2182.6,61310
The Ohio State University,1/25/2021,99742483,17,Wind,OH,14,39.999387,-83.02271,Columbus,2182.6,61310
